entity,internal_id,embedding_source,has_kg_relation,embedding_dimension
CID47471,702,trained,True,128
CID1324494,703,missing_zero,False,128
CID6610318,704,missing_zero,False,128
CID50909779,705,missing_zero,False,128
CID156414,706,trained,True,128
CID6918265,707,missing_zero,False,128
CID135705561,708,missing_zero,False,128
CID11556711,709,trained,True,128
CID44457280,710,missing_zero,False,128
CID24951314,711,missing_zero,False,128
CID9938280,712,trained,True,128
CID10430360,713,missing_zero,False,128
CID24788636,714,missing_zero,False,128
CID984170,715,trained,True,128
CID17751819,716,missing_zero,False,128
CID16202152,717,missing_zero,False,128
CID25154041,718,trained,True,128
CID117996749,719,missing_zero,False,128
CID135411,720,trained,True,128
CID138402877,721,missing_zero,False,128
CID66577006,722,missing_zero,False,128
CID9933475,723,trained,True,128
CID24800541,724,missing_zero,False,128
CID56846693,725,missing_zero,False,128
CID57336812,726,missing_zero,False,128
CID5974,727,trained,True,128
CID504670,728,missing_zero,False,128
CID24857323,729,missing_zero,False,128
CID6605258,730,missing_zero,False,128
CID53240420,731,trained,True,128
CID10256643,732,missing_zero,False,128
CID49784945,733,trained,True,128
CID16666332,734,trained,True,128
CID46933992,735,missing_zero,False,128
CID24825971,736,trained,True,128
CID52948550,737,trained,True,128
CID9820526,738,missing_zero,False,128
CID3838,739,missing_zero,False,128
CID2331284,740,missing_zero,False,128
CID16224745,741,trained,True,128
CID3570748,742,trained,True,128
CID46925884,743,trained,True,128
CID1546,744,trained,True,128
CID11248978,745,missing_zero,False,128
CID46927888,746,missing_zero,False,128
CID46918825,747,missing_zero,False,128
CID3938007,748,missing_zero,False,128
CID46192505,749,missing_zero,False,128
CID151178,750,missing_zero,False,128
CID57519549,751,missing_zero,False,128
CID56603532,752,trained,True,128
CID53316142,753,missing_zero,False,128
CID57519538,754,missing_zero,False,128
CID54706679,755,trained,True,128
CID57519551,756,trained,True,128
CID57519547,757,missing_zero,False,128
CID53401057,758,missing_zero,False,128
CID57519554,759,trained,True,128
CID57519528,760,missing_zero,False,128
CID57519512,761,trained,True,128
CID11719130,762,missing_zero,False,128
CID57519529,763,missing_zero,False,128
CID57519550,764,trained,True,128
CID25105690,765,trained,True,128
CID25256849,766,missing_zero,False,128
CID53252516,767,missing_zero,False,128
CID70679466,768,missing_zero,False,128
CID71300295,769,missing_zero,False,128
CID25169382,770,missing_zero,False,128
CID15057856,771,trained,True,128
CID354624,772,trained,True,128
CID71307851,773,missing_zero,False,128
CID3474778,774,missing_zero,False,128
CID72710568,775,missing_zero,False,128
CID44329754,776,trained,True,128
CID72295940,777,missing_zero,False,128
CID73265342,778,missing_zero,False,128
CID204100,779,missing_zero,False,128
CID56645961,780,trained,True,128
CID73265364,781,missing_zero,False,128
CID72959169,782,trained,True,128
CID68234129,783,trained,True,128
CID6746983,784,missing_zero,False,128
CID73265233,785,trained,True,128
CID5483090,786,missing_zero,False,128
CID73265226,787,trained,True,128
CID46930984,788,missing_zero,False,128
CID73259,789,missing_zero,False,128
CID73265344,790,missing_zero,False,128
CID73265326,791,missing_zero,False,128
CID73265324,792,missing_zero,False,128
CID73265304,793,missing_zero,False,128
CID73265230,794,trained,True,128
CID70701134,795,missing_zero,False,128
CID73265352,796,missing_zero,False,128
CID67310049,797,missing_zero,False,128
CID73265403,798,missing_zero,False,128
CID73265294,799,missing_zero,False,128
CID73265201,800,trained,True,128
CID29985980,801,trained,True,128
CID73265399,802,trained,True,128
CID73265309,803,trained,True,128
CID73265368,804,missing_zero,False,128
CID73265229,805,missing_zero,False,128
CID73265183,806,missing_zero,False,128
CID73265377,807,trained,True,128
CID73265401,808,missing_zero,False,128
CID73265408,809,trained,True,128
CID73265288,810,missing_zero,False,128
CID73265277,811,missing_zero,False,128
CID73265302,812,missing_zero,False,128
CID73265281,813,missing_zero,False,128
CID73265316,814,missing_zero,False,128
CID73265205,815,missing_zero,False,128
CID73265323,816,missing_zero,False,128
CID73265383,817,trained,True,128
CID73265376,818,trained,True,128
CID73265380,819,trained,True,128
CID73265357,820,missing_zero,False,128
CID73265223,821,trained,True,128
CID6325199,822,missing_zero,False,128
CID73265289,823,missing_zero,False,128
CID73265362,824,trained,True,128
CID73265412,825,missing_zero,False,128
CID73265292,826,missing_zero,False,128
CID68938909,827,missing_zero,False,128
CID11271909,828,missing_zero,False,128
CID71543365,829,trained,True,128
CID7566371,830,missing_zero,False,128
CID17571905,831,missing_zero,False,128
CID35028115,832,missing_zero,False,128
CID66646767,833,missing_zero,False,128
CID9849040,834,trained,True,128
CID44315352,835,missing_zero,False,128
CID44573504,836,missing_zero,False,128
CID25263033,837,missing_zero,False,128
CID11957503,838,trained,True,128
CID4259181,839,trained,True,128
CID11440648,840,missing_zero,False,128
CID135399748,841,missing_zero,False,128
CID11656518,842,trained,True,128
CID53396311,843,trained,True,128
CID9847557,844,missing_zero,False,128
CID9956119,845,missing_zero,False,128
CID71295844,846,missing_zero,False,128
CID91885989,847,missing_zero,False,128
CID2746,848,missing_zero,False,128
CID16736529,849,trained,True,128
CID56968072,850,missing_zero,False,128
CID59174579,851,missing_zero,False,128
CID57335384,852,missing_zero,False,128
CID25151504,853,missing_zero,False,128
CID5351344,854,missing_zero,False,128
CID9826309,855,trained,True,128
CID44551660,856,trained,True,128
CID10158940,857,trained,True,128
CID9874913,858,trained,True,128
CID9843900,859,trained,True,128
CID25105690,860,trained,True,128
CID151118,861,missing_zero,False,128
CID78320408,862,trained,True,128
CID71291068,863,missing_zero,False,128
