internal_id,entity,CID,has_smiles,degree
1823,CID107751,CID107751,True,2
1824,CID107771,CID107771,True,84
1825,CID107778,CID107778,True,2
1828,CID107935,CID107935,True,4
1829,CID107952,CID107952,True,1
1830,CID107969,CID107969,True,20
1831,CID107970,CID107970,True,29
1833,CID107985,CID107985,True,19
1834,CID108092,CID108092,True,2
1836,CID108143,CID108143,True,3
1837,CID108144,CID108144,True,1
1838,CID108150,CID108150,True,2
1839,CID108187,CID108187,True,1
1840,CID10830,CID10830,True,1
1842,CID10866,CID10866,True,1
1844,CID10917,CID10917,True,1
1846,CID10995177,CID10995177,True,2
1847,CID1102,CID1102,True,1
1848,CID11057,CID11057,True,45
1850,CID11064619,CID11064619,True,1
1851,CID11065,CID11065,True,1
1852,CID11074431,CID11074431,True,1
1853,CID11079,CID11079,True,1
1854,CID11092,CID11092,True,18
1855,CID11102,CID11102,True,1
1857,CID11154925,CID11154925,True,1
1858,CID11159621,CID11159621,True,2
1859,CID11167112,CID11167112,True,1
1864,CID11201705,CID11201705,True,2
1866,CID11213558,CID11213558,True,2
1868,CID11219835,CID11219835,True,2
1869,CID11222830,CID11222830,True,3
1870,CID11224,CID11224,True,1
1871,CID11226684,CID11226684,True,1
1872,CID11228183,CID11228183,True,5
1874,CID11238147,CID11238147,True,2
1875,CID11242315,CID11242315,True,1
1876,CID11243536,CID11243536,True,1
1877,CID11243969,CID11243969,True,238
1878,CID11248490,CID11248490,True,1
1880,CID11249084,CID11249084,True,1
1882,CID11256664,CID11256664,True,2
1884,CID11271909,CID11271909,True,2
1886,CID11273,CID11273,True,5
1887,CID11282283,CID11282283,True,2
1888,CID11285001,CID11285001,True,1
1889,CID11285588,CID11285588,True,1
1893,CID11304743,CID11304743,True,1
1894,CID11313361,CID11313361,True,1
1895,CID11313622,CID11313622,True,1
1896,CID11314340,CID11314340,True,3
1897,CID11317348,CID11317348,True,3
1898,CID11326715,CID11326715,True,3
1900,CID11333,CID11333,True,2
1902,CID11345983,CID11345983,True,1
1903,CID11347535,CID11347535,True,786
1904,CID11349170,CID11349170,True,1
1905,CID11351021,CID11351021,True,2
1906,CID11354606,CID11354606,True,2
1907,CID11358077,CID11358077,True,2
1911,CID11383075,CID11383075,True,1
1912,CID11387605,CID11387605,True,2
