drug1_id,drug2_id,drug1_entity,drug2_entity,label,split
3618,4358,CID4912,CID6337614,1,train
3618,4368,CID4912,CID64139,1,train
3618,4443,CID4912,CID656583,1,train
3618,4535,CID4912,CID68617,1,train
3618,4558,CID4912,CID6914273,1,train
3618,4577,CID4912,CID6918296,1,train
3618,4929,CID4912,CID91649,1,train
3618,5000,CID4912,CID9811704,1,train
3618,5089,CID4912,CID9930913,1,train
3624,4310,CID492405,CID60974,1,train
3624,4318,CID492405,CID6167,1,train
3624,4351,CID492405,CID63009,1,train
3660,4803,CID49867936,CID73265392,1,train
3660,5039,CID49867936,CID9865515,1,train
3662,4122,CID4993,CID572,1,train
3662,4353,CID4993,CID6321424,1,train
3662,4354,CID4993,CID63224,1,train
3662,4566,CID4993,CID6917864,1,train
3692,3699,CID51001932,CID51042438,1,train
3692,3844,CID51001932,CID5311,1,train
3692,3860,CID51001932,CID5311497,1,train
3692,3899,CID51001932,CID5330286,1,train
3692,4084,CID51001932,CID56649450,1,train
3692,4299,CID51001932,CID60838,1,train
3692,5036,CID51001932,CID9858940,1,train
3692,5058,CID51001932,CID9887053,1,train
3692,5080,CID51001932,CID9914412,1,train
3699,3844,CID51042438,CID5311,1,train
3699,3899,CID51042438,CID5330286,1,train
3707,3934,CID51358113,CID53494972,1,train
3707,4128,CID51358113,CID57336745,1,train
3707,4566,CID51358113,CID6917864,1,train
3707,4823,CID51358113,CID73461,1,train
3718,3812,CID517546,CID5284583,1,train
3718,3831,CID517546,CID5291,1,train
3718,3842,CID517546,CID5310966,1,train
3718,3849,CID517546,CID5311068,1,train
3718,3872,CID517546,CID5323714,1,train
3718,3895,CID517546,CID5329102,1,train
3718,3930,CID517546,CID5342,1,train
3718,3942,CID517546,CID5358,1,train
3718,3945,CID517546,CID5360515,1,train
3718,3964,CID517546,CID5426,1,train
3718,3967,CID517546,CID5430,1,train
3718,3982,CID517546,CID5462501,1,train
3718,3988,CID517546,CID54675769,1,train
3718,4003,CID517546,CID54680692,1,train
3718,4005,CID517546,CID54684141,1,train
3718,4039,CID517546,CID5493444,1,train
3718,4051,CID517546,CID5530,1,train
3718,4054,CID517546,CID5546,1,train
3718,4206,CID517546,CID5831,1,train
3718,4207,CID517546,CID5833,1,train
3718,4245,CID517546,CID5991,1,train
3718,4252,CID517546,CID6013,1,train
3718,4259,CID517546,CID6018,1,train
3718,4279,CID517546,CID60648,1,train
3718,4290,CID517546,CID60753,1,train
3718,4291,CID517546,CID60795,1,train
3718,4299,CID517546,CID60838,1,train
3718,4312,CID517546,CID6100,1,train
3718,4353,CID517546,CID6321424,1,train
3718,4358,CID517546,CID6337614,1,train
3718,4368,CID517546,CID64139,1,train
3718,4443,CID517546,CID656583,1,train
3718,4535,CID517546,CID68617,1,train
3718,4558,CID517546,CID6914273,1,train
3718,4577,CID517546,CID6918296,1,train
3718,4837,CID517546,CID7550,1,train
3718,4929,CID517546,CID91649,1,train
3718,4949,CID517546,CID92722,1,train
3718,5089,CID517546,CID9930913,1,train
3754,3895,CID5281078,CID5329102,1,train
3754,4291,CID5281078,CID60795,1,train
3754,4310,CID5281078,CID60974,1,train
3754,4318,CID5281078,CID6167,1,train
3754,4351,CID5281078,CID63009,1,train
3754,4408,CID5281078,CID6456015,1,train
3812,3831,CID5284583,CID5291,1,train
3812,3842,CID5284583,CID5310966,1,train
3812,3844,CID5284583,CID5311,1,train
3812,3849,CID5284583,CID5311068,1,train
3812,3872,CID5284583,CID5323714,1,train
3812,3895,CID5284583,CID5329102,1,train
3812,3930,CID5284583,CID5342,1,train
3812,3945,CID5284583,CID5360515,1,train
3812,3964,CID5284583,CID5426,1,train
3812,3967,CID5284583,CID5430,1,train
3812,3982,CID5284583,CID5462501,1,train
3812,3988,CID5284583,CID54675769,1,train
3812,4003,CID5284583,CID54680692,1,train
3812,4005,CID5284583,CID54684141,1,train
3812,4051,CID5284583,CID5530,1,train
3812,4054,CID5284583,CID5546,1,train
3812,4206,CID5284583,CID5831,1,train
3812,4207,CID5284583,CID5833,1,train
3812,4245,CID5284583,CID5991,1,train
3812,4259,CID5284583,CID6018,1,train
3812,4290,CID5284583,CID60753,1,train
3812,4291,CID5284583,CID60795,1,train
3812,4299,CID5284583,CID60838,1,train
3812,4312,CID5284583,CID6100,1,train
3812,4353,CID5284583,CID6321424,1,train
3812,4358,CID5284583,CID6337614,1,train
3812,4368,CID5284583,CID64139,1,train
3812,4443,CID5284583,CID656583,1,train
3812,4535,CID5284583,CID68617,1,train
3812,4558,CID5284583,CID6914273,1,train
3812,4577,CID5284583,CID6918296,1,train
3812,4837,CID5284583,CID7550,1,train
3812,4949,CID5284583,CID92722,1,train
3812,5000,CID5284583,CID9811704,1,train
3812,5089,CID5284583,CID9930913,1,train
3831,3842,CID5291,CID5310966,1,train
3831,3844,CID5291,CID5311,1,train
3831,3849,CID5291,CID5311068,1,train
3831,3895,CID5291,CID5329102,1,train
3831,3930,CID5291,CID5342,1,train
3831,3944,CID5291,CID5360373,1,train
3831,3945,CID5291,CID5360515,1,train
3831,3958,CID5291,CID5388983,1,train
3831,3964,CID5291,CID5426,1,train
3831,3967,CID5291,CID5430,1,train
3831,3982,CID5291,CID5462501,1,train
3831,3988,CID5291,CID54675769,1,train
3831,4005,CID5291,CID54684141,1,train
3831,4039,CID5291,CID5493444,1,train
3831,4051,CID5291,CID5530,1,train
3831,4054,CID5291,CID5546,1,train
3831,4206,CID5291,CID5831,1,train
3831,4207,CID5291,CID5833,1,train
