id,smiles,drug_name
2173,CC(C)CC(C(CSC1=CC=CS1)C(=O)NO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC,BATIMASTAT (BB-94)
2645,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,Chlorhexidine Base
4934,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],TOLCAPONE
2837,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,DECITABINE
5053,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,TIPIFARNIB
2385,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O,CD 437
4905,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,TAZAROTENE
4900,CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C,TAMIBAROTENE
2191,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,BEXAROTENE
3377,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,HYDROCORTISONE
5371,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,cyclosporin A
1956,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],AZATHIOPRINE
3517,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,KETOPROFEN
3518,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,KETOROLAC
3085,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,FLURBIPROFEN
3404,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,INDOMETHACIN
3586,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,LORNOXICAM
1930,CC(=O)OC1=CC=CC=C1C(=O)O,ASPIRIN
4911,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,TENOXICAM
5394,C1=C(NC=N1)CCN,histamine
5362,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,cetirizine
3585,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,LORATADINE
2648,CN(C)CCN(CC1=CC=C(C=C1)Cl)C2=CC=CC=N2.Cl,Chloropyramine hydrochloride
5374,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,diphenhydramine
5395,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,ketotifen
2560,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,CYPROHEPTADINE
5349,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,azelastine
5384,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,famotidine
4513,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,QUERCETIN
3378,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[OH-].[Co+3],HYDROXOCOBALAMIN
4009,C1=CC(=CN=C1)C(=O)O,NICOTINIC ACID
4008,C1=CC(=CN=C1)C(=O)N,NICOTINAMIDE (VITAMIN B3)
2766,CC(C)(CO)C(C(=O)NCCC(=O)O)O,D-PANTOTHENIC ACID
2092,CC(=O)NC1=CC=C(C=C1)OCC(C)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O,ANDARINE
2954,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,ENZALUTAMIDE (MDV3100)
2313,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,BICALUTAMIDE
3086,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,FLUTAMIDE
15,C[C@](O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,(R)-Bicalutamide
5406,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,nilutamide
5399,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,meclizine
4306,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,PIOGLITAZONE
