Pictilisib,combination,Nilotinib
AZD-7762,combination,Nilotinib
Nutlin-3a (-),combination,AZD-7762
Pictilisib,combination,SB-216763
5-Fluorouracil,combination,SB-216763
Axitinib,combination,SB-216763
Sapitinib,combination,SB-216763
PD-173074,combination,SB-216763
AZD-7762,combination,SB-216763
MK-2206,combination,SB-216763
Axitinib,combination,KU-55933
Sapitinib,combination,KU-55933
MK-2206,combination,KU-55933
Pictilisib,combination,KU-55933
5-Fluorouracil,combination,KU-55933
PD-173074,combination,KU-55933
AZD-7762,combination,KU-55933
PD-173074,combination,Nutlin-3a (-)
Olaparib,combination,RO-3306
Bortezomib,combination,RO-3306
Palbociclib,combination,RO-3306
Lapatinib,combination,RO-3306
Nutlin-3a (-),combination,RO-3306
Taselisib,combination,RO-3306
Temozolomide,combination,RO-3306
Gemcitabine,combination,RO-3306
Trametinib,combination,RO-3306
Docetaxel,combination,RO-3306
Linsitinib,combination,RO-3306
Crizotinib,combination,RO-3306
Luminespib,combination,RO-3306
Cisplatin,combination,RO-3306
Vorinostat,combination,RO-3306
MK-1775,combination,RO-3306
Navitoclax,combination,RO-3306
5-Fluorouracil,combination,AZD-8055
PD-173074,combination,AZD-8055
Pictilisib,combination,AZD-8055
Axitinib,combination,AZD-8055
Sapitinib,combination,AZD-8055
MK-2206,combination,AZD-8055
AZD-7762,combination,AZD-8055
Sapitinib,combination,Paclitaxel
MK-2206,combination,Paclitaxel
AZD-7762,combination,Paclitaxel
5-Fluorouracil,combination,Paclitaxel
PD-173074,combination,Paclitaxel
Pictilisib,combination,Paclitaxel
Axitinib,combination,Paclitaxel
Temozolomide,combination,Sorafenib
Cisplatin,combination,Sorafenib
Vorinostat,combination,Sorafenib
Navitoclax,combination,Sorafenib
Olaparib,combination,Sorafenib
Gemcitabine,combination,Sorafenib
Luminespib,combination,Sorafenib
Lapatinib,combination,Sorafenib
Linsitinib,combination,Sorafenib
Trametinib,combination,Sorafenib
MK-1775,combination,Sorafenib
Crizotinib,combination,Sorafenib
Palbociclib,combination,BI 2536
Crizotinib,combination,BI 2536
Vorinostat,combination,BI 2536
Trametinib,combination,BI 2536
Docetaxel,combination,BI 2536
Cisplatin,combination,BI 2536
Gemcitabine,combination,BI 2536
Nutlin-3a (-),combination,BI 2536
Temozolomide,combination,BI 2536
Luminespib,combination,BI 2536
Bortezomib,combination,BI 2536
Bortezomib,combination,Sorafenib
Palbociclib,combination,Sorafenib
Nutlin-3a (-),combination,Sorafenib
Taselisib,combination,Sorafenib
Docetaxel,combination,Sorafenib
Navitoclax,combination,BI 2536
Lapatinib,combination,BI 2536
Taselisib,combination,BI 2536
MK-1775,combination,BI 2536
Linsitinib,combination,BI 2536
Olaparib,combination,BI 2536
Axitinib,combination,Tozasertib
Pictilisib,combination,Tozasertib
Sapitinib,combination,Tozasertib
MK-2206,combination,PF-4708671
Axitinib,combination,PF-4708671
Sapitinib,combination,PF-4708671
Pictilisib,combination,PF-4708671
5-Fluorouracil,combination,Tozasertib
PD-173074,combination,Tozasertib
AZD-7762,combination,Tozasertib
AZD-7762,combination,PF-4708671
5-Fluorouracil,combination,PF-4708671
MK-2206,combination,Tozasertib
PD-173074,combination,PF-4708671
Pictilisib,combination,GSK-269962A
5-Fluorouracil,combination,GSK-269962A
AZD-7762,combination,GSK-269962A
Sapitinib,combination,GSK-269962A
Axitinib,combination,GSK-269962A
