id,smiles,drug_CID
1814,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,CID10607
1815,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,CID10621
3978,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,CID5459840
1848,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],CID11057
3704,C[C@@H]1CN(CCN1C(=O)COC2=C(C=C(C=C2)Cl)NC(=O)N)CC3=CC=C(C=C3)F,CID512282
3250,CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O,CID4248455
1886,C[C@]12CCC(=O)C(=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,CID11273
2134,CCCCCCCCCCCCCCCCCCCCCCO,CID12620
4453,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,CID657237
4903,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)F)N,CID8975
2162,C1=CC=C(C=C1)CCN=C(N)N=C(N)N.Cl,CID13266
4467,C1=CC(=CC=C1CN2C=CN=C2)/C=C\C(=O)O,CID6604437
3110,CCCC(CCC)C(=O)[O-],CID3549980
2139,C1=CNC(=S)NC1=O,CID1269845
2822,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,CID2518
2898,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-],CID27350
3023,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CID31553
3086,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,CID34458
2284,COC1=NC(=NC2=C1N=CN2[C@H]3[C@@H]([C@H]([C@H](O3)CO)O)O)N,CID13988706
3120,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,CID36462
1767,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=CN=C3N2C=C(C=C3)Br,CID10275789
4454,C1COC(=O)N1N,CID65725
2401,C1C(C(=O)OC1COC2=CC=CC=C2[N+](=O)[O-])CC3=CC=CC=C3,CID16216349
4610,C(C(=O)C(=O)O)Br,CID70684
3115,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N,CID358177
4884,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O,CID8617
2190,CN1C=NC(=N)C2=C1N=CN2,CID135398661
3126,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,CID36708
3263,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],CID42640
5001,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN,CID9813758
4992,CC(C)(C#CC1=CC2=C(C=C1NC(=O)C=C)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)N4CCN(CC4)C,CID9806229
3268,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O.OS(=O)(=O)O,CID43116
3530,C1=CC(=C(C=C1N)O)C(=O)O,CID4649
3963,CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2C[C@H](O[C@H](C2)C)C.Cl,CID54259
3733,CC1=CC(=O)OC2=C1C=CC(=C2)O,CID5280567
2146,CC1=CC(=O)OC2=C1C=CC(=C2C=O)O,CID12934390
4621,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,CID70983934
3673,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,CID5056
4071,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F.Cl,CID56207
4275,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,CID60560
4308,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,CID60953
4310,CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\Cl)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CID60974
3375,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,CID44403842
3275,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N,CID439280
2292,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,CID144
